Elapsed time,ECG,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,Abdomen_5
'0:00.083',-0.407,0.42,-0.285,0.237,-0.235,0.705
'0:00.084',-0.408,0.419,-0.283,0.234,-0.238,0.692
'0:00.085',-0.412,0.416,-0.281,0.232,-0.238,0.684
'0:00.086',-0.409,0.415,-0.277,0.233,-0.235,0.679
'0:00.087',-0.403,0.413,-0.272,0.236,-0.228,0.681
'0:00.088',-0.402,0.413,-0.264,0.241,-0.219,0.686
'0:00.089',-0.402,0.414,-0.257,0.247,-0.207,0.694
'0:00.090',-0.399,0.414,-0.249,0.253,-0.194,0.704
'0:00.091',-0.404,0.412,-0.243,0.257,-0.183,0.714
'0:00.092',-0.402,0.409,-0.238,0.261,-0.172,0.723
'0:00.093',-0.397,0.408,-0.234,0.263,-0.164,0.728
'0:00.094',-0.392,0.405,-0.232,0.263,-0.16,0.732
'0:00.095',-0.389,0.403,-0.229,0.263,-0.156,0.731
'0:00.096',-0.389,0.401,-0.229,0.259,-0.157,0.726
'0:00.097',-0.392,0.399,-0.233,0.254,-0.161,0.718
'0:00.098',-0.389,0.395,-0.237,0.248,-0.168,0.704
'0:00.099',-0.389,0.391,-0.241,0.239,-0.178,0.687
'0:00.100',-0.391,0.388,-0.246,0.229,-0.189,0.666
'0:00.101',-0.394,0.386,-0.249,0.221,-0.199,0.645
'0:00.102',-0.398,0.384,-0.251,0.214,-0.207,0.626
'0:00.103',-0.401,0.381,-0.253,0.209,-0.213,0.609
'0:00.104',-0.399,0.379,-0.254,0.203,-0.216,0.596
'0:00.105',-0.397,0.376,-0.253,0.201,-0.218,0.586
'0:00.106',-0.392,0.373,-0.25,0.2,-0.216,0.582
'0:00.107',-0.394,0.371,-0.245,0.202,-0.209,0.583
'0:00.108',-0.401,0.369,-0.239,0.207,-0.201,0.589
'0:00.109',-0.401,0.366,-0.232,0.213,-0.188,0.6
'0:00.110',-0.392,0.364,-0.226,0.219,-0.176,0.613
'0:00.111',-0.39,0.359,-0.22,0.225,-0.163,0.627
'0:00.112',-0.392,0.354,-0.217,0.228,-0.153,0.637
'0:00.113',-0.391,0.349,-0.213,0.23,-0.145,0.645
'0:00.114',-0.389,0.346,-0.211,0.23,-0.141,0.648
'0:00.115',-0.387,0.345,-0.21,0.23,-0.139,0.646
'0:00.116',-0.391,0.343,-0.211,0.227,-0.14,0.64
'0:00.117',-0.392,0.341,-0.212,0.221,-0.144,0.63
'0:00.118',-0.389,0.34,-0.214,0.214,-0.151,0.616
'0:00.119',-0.389,0.338,-0.217,0.206,-0.16,0.599
'0:00.120',-0.389,0.337,-0.22,0.198,-0.17,0.58
'0:00.121',-0.384,0.336,-0.221,0.189,-0.18,0.562
'0:00.122',-0.383,0.336,-0.223,0.183,-0.187,0.546
'0:00.123',-0.384,0.334,-0.223,0.178,-0.193,0.531
'0:00.124',-0.385,0.331,-0.223,0.174,-0.196,0.521
'0:00.125',-0.382,0.328,-0.222,0.171,-0.196,0.514
'0:00.126',-0.38,0.324,-0.221,0.171,-0.193,0.511
'0:00.127',-0.379,0.321,-0.217,0.173,-0.187,0.514
'0:00.128',-0.381,0.32,-0.211,0.178,-0.177,0.52
'0:00.129',-0.378,0.319,-0.204,0.185,-0.166,0.531
'0:00.130',-0.375,0.319,-0.197,0.192,-0.154,0.542
'0:00.131',-0.377,0.317,-0.191,0.198,-0.143,0.552
'0:00.132',-0.377,0.315,-0.186,0.203,-0.134,0.562
'0:00.133',-0.378,0.312,-0.182,0.206,-0.127,0.568
'0:00.134',-0.376,0.311,-0.179,0.207,-0.123,0.572
'0:00.135',-0.37,0.311,-0.177,0.207,-0.123,0.571
'0:00.136',-0.364,0.312,-0.176,0.204,-0.123,0.567
'0:00.137',-0.359,0.311,-0.179,0.198,-0.127,0.559
'0:00.138',-0.355,0.31,-0.182,0.19,-0.134,0.546
'0:00.139',-0.356,0.308,-0.187,0.181,-0.144,0.531
'0:00.140',-0.361,0.306,-0.191,0.173,-0.154,0.513
'0:00.141',-0.357,0.306,-0.194,0.166,-0.163,0.495
'0:00.142',-0.351,0.306,-0.195,0.161,-0.171,0.479
'0:00.143',-0.347,0.306,-0.195,0.157,-0.174,0.465
'0:00.144',-0.344,0.304,-0.195,0.155,-0.177,0.454
'0:00.145',-0.344,0.301,-0.194,0.153,-0.177,0.447
'0:00.146',-0.341,0.298,-0.192,0.153,-0.176,0.443
'0:00.147',-0.338,0.295,-0.188,0.155,-0.17,0.445
'0:00.148',-0.34,0.292,-0.184,0.16,-0.161,0.451
'0:00.149',-0.341,0.29,-0.177,0.165,-0.151,0.461
'0:00.150',-0.338,0.287,-0.171,0.171,-0.139,0.473
'0:00.151',-0.337,0.284,-0.164,0.176,-0.128,0.486
'0:00.152',-0.338,0.281,-0.16,0.181,-0.12,0.499
'0:00.153',-0.337,0.278,-0.156,0.183,-0.112,0.508
'0:00.154',-0.338,0.276,-0.154,0.184,-0.107,0.513
'0:00.155',-0.341,0.274,-0.152,0.184,-0.105,0.514
'0:00.156',-0.345,0.274,-0.152,0.181,-0.105,0.511
'0:00.157',-0.347,0.272,-0.156,0.175,-0.109,0.502
'0:00.158',-0.346,0.27,-0.16,0.168,-0.116,0.487
'0:00.159',-0.345,0.268,-0.165,0.16,-0.126,0.47
'0:00.160',-0.34,0.267,-0.168,0.151,-0.137,0.451
'0:00.161',-0.337,0.266,-0.171,0.144,-0.147,0.431
'0:00.162',-0.341,0.266,-0.174,0.138,-0.156,0.415
'0:00.163',-0.347,0.266,-0.174,0.133,-0.161,0.401
'0:00.164',-0.345,0.263,-0.173,0.131,-0.164,0.391
'0:00.165',-0.341,0.262,-0.172,0.129,-0.166,0.386
'0:00.166',-0.336,0.261,-0.168,0.13,-0.163,0.384
'0:00.167',-0.336,0.261,-0.162,0.135,-0.157,0.388
'0:00.168',-0.336,0.261,-0.154,0.14,-0.147,0.396
'0:00.169',-0.333,0.26,-0.146,0.147,-0.137,0.407
'0:00.170',-0.331,0.259,-0.14,0.155,-0.124,0.42
'0:00.171',-0.333,0.257,-0.135,0.16,-0.113,0.431
'0:00.172',-0.331,0.254,-0.13,0.164,-0.103,0.441
'0:00.173',-0.327,0.253,-0.128,0.168,-0.095,0.448
'0:00.174',-0.327,0.252,-0.124,0.171,-0.09,0.452
'0:00.175',-0.326,0.253,-0.123,0.172,-0.087,0.454
'0:00.176',-0.327,0.255,-0.122,0.171,-0.087,0.451
'0:00.177',-0.326,0.255,-0.123,0.167,-0.091,0.443
'0:00.178',-0.324,0.255,-0.126,0.16,-0.097,0.431
'0:00.179',-0.322,0.254,-0.13,0.153,-0.107,0.417
'0:00.180',-0.32,0.254,-0.134,0.144,-0.117,0.399
'0:00.181',-0.317,0.253,-0.136,0.137,-0.127,0.382
'0:00.182',-0.312,0.252,-0.139,0.13,-0.136,0.366
'0:00.183',-0.31,0.249,-0.141,0.124,-0.143,0.354
'0:00.184',-0.309,0.246,-0.141,0.121,-0.146,0.346
'0:00.185',-0.312,0.241,-0.142,0.119,-0.148,0.34
'0:00.186',-0.312,0.237,-0.141,0.118,-0.145,0.339
'0:00.187',-0.312,0.235,-0.138,0.12,-0.14,0.342
'0:00.188',-0.316,0.232,-0.134,0.124,-0.13,0.35
'0:00.189',-0.314,0.23,-0.128,0.131,-0.118,0.361
'0:00.190',-0.309,0.227,-0.124,0.136,-0.107,0.374
'0:00.191',-0.309,0.224,-0.12,0.141,-0.096,0.386
'0:00.192',-0.31,0.221,-0.118,0.146,-0.086,0.398
'0:00.193',-0.307,0.219,-0.115,0.149,-0.078,0.406
'0:00.194',-0.301,0.218,-0.113,0.15,-0.073,0.411
'0:00.195',-0.297,0.217,-0.112,0.149,-0.072,0.411
'0:00.196',-0.3,0.216,-0.114,0.146,-0.074,0.408
'0:00.197',-0.302,0.215,-0.116,0.141,-0.079,0.399
'0:00.198',-0.299,0.212,-0.12,0.135,-0.087,0.387
'0:00.199',-0.304,0.211,-0.123,0.127,-0.098,0.372
'0:00.200',-0.312,0.209,-0.126,0.119,-0.108,0.355
'0:00.201',-0.312,0.21,-0.128,0.113,-0.117,0.339
'0:00.202',-0.311,0.211,-0.13,0.109,-0.123,0.323
'0:00.203',-0.311,0.211,-0.13,0.105,-0.127,0.311
'0:00.204',-0.309,0.212,-0.13,0.102,-0.13,0.302
'0:00.205',-0.309,0.211,-0.128,0.101,-0.128,0.296
'0:00.206',-0.307,0.211,-0.126,0.102,-0.126,0.294
'0:00.207',-0.306,0.211,-0.12,0.105,-0.12,0.297
'0:00.208',-0.309,0.21,-0.115,0.11,-0.112,0.304
'0:00.209',-0.306,0.209,-0.109,0.116,-0.102,0.314
'0:00.210',-0.305,0.208,-0.102,0.122,-0.093,0.326
'0:00.211',-0.312,0.207,-0.097,0.128,-0.083,0.337
'0:00.212',-0.32,0.207,-0.093,0.134,-0.074,0.35
'0:00.213',-0.321,0.208,-0.089,0.138,-0.066,0.359
'0:00.214',-0.316,0.211,-0.084,0.14,-0.061,0.365
'0:00.215',-0.312,0.214,-0.082,0.141,-0.059,0.367
'0:00.216',-0.312,0.216,-0.082,0.139,-0.059,0.365
'0:00.217',-0.309,0.218,-0.084,0.135,-0.063,0.357
'0:00.218',-0.302,0.218,-0.089,0.127,-0.071,0.345
'0:00.219',-0.302,0.218,-0.094,0.12,-0.08,0.331
'0:00.220',-0.305,0.219,-0.098,0.113,-0.089,0.314
'0:00.221',-0.306,0.221,-0.1,0.107,-0.097,0.297
'0:00.222',-0.309,0.223,-0.101,0.103,-0.103,0.283
'0:00.223',-0.312,0.223,-0.101,0.101,-0.107,0.271
'0:00.224',-0.314,0.222,-0.101,0.1,-0.108,0.263
'0:00.225',-0.316,0.221,-0.1,0.1,-0.108,0.259
'0:00.226',-0.312,0.216,-0.098,0.102,-0.105,0.257
'0:00.227',-0.313,0.211,-0.094,0.106,-0.099,0.262
'0:00.228',-0.317,0.206,-0.089,0.112,-0.09,0.269
'0:00.229',-0.311,0.201,-0.083,0.118,-0.081,0.28
'0:00.230',-0.304,0.196,-0.078,0.124,-0.07,0.293
'0:00.231',-0.304,0.189,-0.074,0.129,-0.061,0.305
'0:00.232',-0.309,0.184,-0.072,0.134,-0.052,0.316
'0:00.233',-0.312,0.181,-0.071,0.135,-0.046,0.325
'0:00.234',-0.312,0.178,-0.069,0.136,-0.042,0.329
'0:00.235',-0.31,0.176,-0.07,0.136,-0.042,0.33
'0:00.236',-0.315,0.175,-0.071,0.134,-0.042,0.328
'0:00.237',-0.317,0.173,-0.074,0.13,-0.047,0.321
'0:00.238',-0.313,0.171,-0.078,0.126,-0.054,0.311
'0:00.239',-0.311,0.168,-0.082,0.118,-0.063,0.298
'0:00.240',-0.31,0.168,-0.086,0.112,-0.071,0.283
'0:00.241',-0.307,0.17,-0.087,0.105,-0.08,0.267
'0:00.242',-0.302,0.172,-0.087,0.101,-0.087,0.252
'0:00.243',-0.298,0.175,-0.085,0.096,-0.093,0.241
'0:00.244',-0.3,0.175,-0.084,0.093,-0.096,0.231
'0:00.245',-0.304,0.174,-0.084,0.091,-0.097,0.227
'0:00.246',-0.304,0.173,-0.083,0.092,-0.094,0.226
'0:00.247',-0.304,0.173,-0.08,0.095,-0.09,0.23
'0:00.248',-0.307,0.174,-0.075,0.101,-0.08,0.237
'0:00.249',-0.306,0.175,-0.069,0.107,-0.07,0.25
'0:00.250',-0.299,0.174,-0.065,0.114,-0.058,0.262
'0:00.251',-0.299,0.173,-0.061,0.119,-0.048,0.276
'0:00.252',-0.294,0.171,-0.057,0.124,-0.039,0.288
'0:00.253',-0.286,0.17,-0.056,0.126,-0.032,0.297
'0:00.254',-0.282,0.17,-0.053,0.127,-0.028,0.304
'0:00.255',-0.287,0.17,-0.052,0.127,-0.026,0.306
'0:00.256',-0.289,0.17,-0.053,0.126,-0.027,0.304
'0:00.257',-0.287,0.17,-0.055,0.122,-0.031,0.298
'0:00.258',-0.283,0.17,-0.059,0.116,-0.04,0.288
'0:00.259',-0.284,0.17,-0.062,0.11,-0.05,0.273
'0:00.260',-0.281,0.17,-0.066,0.102,-0.061,0.257
'0:00.261',-0.28,0.171,-0.068,0.097,-0.07,0.24
'0:00.262',-0.28,0.173,-0.069,0.092,-0.077,0.225
'0:00.263',-0.281,0.175,-0.069,0.088,-0.083,0.214
'0:00.264',-0.281,0.175,-0.069,0.086,-0.085,0.205
'0:00.265',-0.279,0.175,-0.067,0.086,-0.085,0.201
'0:00.266',-0.271,0.175,-0.063,0.088,-0.081,0.202
'0:00.267',-0.273,0.176,-0.056,0.094,-0.073,0.208
'0:00.268',-0.281,0.179,-0.046,0.103,-0.061,0.219
'0:00.269',-0.284,0.182,-0.036,0.115,-0.046,0.234
'0:00.270',-0.281,0.185,-0.026,0.126,-0.031,0.25
'0:00.271',-0.277,0.186,-0.018,0.135,-0.017,0.265
'0:00.272',-0.28,0.186,-0.012,0.141,-0.006,0.279
'0:00.273',-0.281,0.185,-0.01,0.145,0.001,0.289
'0:00.274',-0.28,0.185,-0.007,0.147,0.004,0.294
'0:00.275',-0.279,0.185,-0.007,0.146,0.005,0.296
'0:00.276',-0.278,0.185,-0.007,0.142,0.002,0.293
'0:00.277',-0.276,0.184,-0.011,0.138,-0.005,0.286
'0:00.278',-0.273,0.181,-0.017,0.128,-0.015,0.274
'0:00.279',-0.277,0.177,-0.026,0.116,-0.028,0.257
'0:00.280',-0.281,0.171,-0.036,0.102,-0.044,0.237
'0:00.281',-0.278,0.164,-0.047,0.086,-0.062,0.214
'0:00.282',-0.28,0.156,-0.061,0.07,-0.08,0.191
'0:00.283',-0.284,0.145,-0.078,0.053,-0.097,0.169
'0:00.284',-0.288,0.132,-0.094,0.034,-0.115,0.148
'0:00.285',-0.286,0.118,-0.111,0.016,-0.13,0.131
'0:00.286',-0.284,0.104,-0.128,-0.001,-0.144,0.117
'0:00.287',-0.284,0.091,-0.143,-0.015,-0.153,0.11
'0:00.288',-0.284,0.079,-0.155,-0.025,-0.156,0.107
'0:00.289',-0.277,0.068,-0.162,-0.03,-0.154,0.111
'0:00.290',-0.274,0.059,-0.166,-0.029,-0.146,0.121
'0:00.291',-0.276,0.053,-0.165,-0.022,-0.134,0.136
'0:00.292',-0.278,0.051,-0.158,-0.011,-0.118,0.152
'0:00.293',-0.281,0.054,-0.147,0.005,-0.101,0.169
'0:00.294',-0.281,0.063,-0.131,0.023,-0.083,0.185
'0:00.295',-0.278,0.074,-0.114,0.042,-0.066,0.199
'0:00.296',-0.277,0.087,-0.098,0.057,-0.052,0.208
'0:00.297',-0.276,0.1,-0.083,0.07,-0.042,0.214
'0:00.298',-0.277,0.11,-0.072,0.077,-0.037,0.213
'0:00.299',-0.275,0.12,-0.064,0.079,-0.037,0.207
'0:00.300',-0.267,0.127,-0.059,0.081,-0.039,0.198
'0:00.301',-0.261,0.134,-0.054,0.081,-0.044,0.187
'0:00.302',-0.261,0.139,-0.049,0.081,-0.046,0.176
'0:00.303',-0.263,0.145,-0.044,0.082,-0.048,0.168
'0:00.304',-0.257,0.146,-0.039,0.084,-0.048,0.162
'0:00.305',-0.25,0.147,-0.036,0.085,-0.046,0.161
'0:00.306',-0.242,0.147,-0.03,0.088,-0.041,0.162
'0:00.307',-0.241,0.146,-0.025,0.092,-0.035,0.168
'0:00.308',-0.245,0.145,-0.021,0.096,-0.027,0.178
'0:00.309',-0.241,0.143,-0.017,0.101,-0.018,0.19
'0:00.310',-0.236,0.14,-0.015,0.105,-0.009,0.203
'0:00.311',-0.239,0.137,-0.014,0.108,-0.002,0.214
'0:00.312',-0.245,0.134,-0.013,0.11,0.003,0.224
'0:00.313',-0.245,0.133,-0.012,0.11,0.006,0.23
'0:00.314',-0.239,0.132,-0.014,0.107,0.006,0.231
'0:00.315',-0.234,0.131,-0.016,0.104,0.005,0.23
'0:00.316',-0.235,0.129,-0.021,0.098,-0.001,0.225
'0:00.317',-0.234,0.126,-0.026,0.091,-0.009,0.216
'0:00.318',-0.232,0.122,-0.034,0.082,-0.019,0.203
'0:00.319',-0.235,0.12,-0.041,0.074,-0.031,0.189
'0:00.320',-0.234,0.116,-0.047,0.066,-0.043,0.173
'0:00.321',-0.227,0.113,-0.052,0.059,-0.053,0.157
'0:00.322',-0.221,0.111,-0.056,0.053,-0.062,0.142
'0:00.323',-0.222,0.109,-0.061,0.048,-0.069,0.13
'0:00.324',-0.225,0.106,-0.062,0.045,-0.073,0.121
'0:00.325',-0.225,0.104,-0.064,0.042,-0.073,0.117
'0:00.326',-0.226,0.102,-0.064,0.042,-0.07,0.118
'0:00.327',-0.23,0.101,-0.06,0.046,-0.062,0.124
'0:00.328',-0.235,0.102,-0.055,0.052,-0.054,0.133
'0:00.329',-0.23,0.103,-0.048,0.059,-0.042,0.146
'0:00.330',-0.226,0.104,-0.042,0.066,-0.032,0.161
'0:00.331',-0.228,0.104,-0.037,0.071,-0.022,0.174
'0:00.332',-0.227,0.104,-0.034,0.076,-0.012,0.188
'0:00.333',-0.223,0.105,-0.031,0.08,-0.006,0.197
'0:00.334',-0.22,0.107,-0.027,0.084,-0.001,0.204
'0:00.335',-0.218,0.11,-0.026,0.086,0,0.206
'0:00.336',-0.22,0.112,-0.025,0.086,-0.002,0.202
'0:00.337',-0.218,0.113,-0.027,0.082,-0.008,0.194
'0:00.338',-0.212,0.112,-0.031,0.075,-0.016,0.181
'0:00.339',-0.211,0.11,-0.037,0.068,-0.029,0.164
'0:00.340',-0.213,0.109,-0.042,0.059,-0.041,0.146
'0:00.341',-0.214,0.107,-0.047,0.051,-0.051,0.129
'0:00.342',-0.218,0.106,-0.051,0.046,-0.061,0.115
'0:00.343',-0.221,0.106,-0.053,0.042,-0.067,0.105
'0:00.344',-0.22,0.104,-0.053,0.041,-0.07,0.1
'0:00.345',-0.215,0.103,-0.052,0.042,-0.07,0.098
'0:00.346',-0.212,0.102,-0.049,0.045,-0.067,0.1
'0:00.347',-0.214,0.102,-0.045,0.051,-0.06,0.107
'0:00.348',-0.212,0.101,-0.039,0.056,-0.051,0.116
'0:00.349',-0.203,0.1,-0.034,0.063,-0.039,0.13
'0:00.350',-0.197,0.097,-0.031,0.07,-0.027,0.144
'0:00.351',-0.201,0.093,-0.029,0.073,-0.017,0.16
'0:00.352',-0.198,0.088,-0.029,0.075,-0.008,0.171
'0:00.353',-0.192,0.083,-0.029,0.075,-0.002,0.179
'0:00.354',-0.191,0.081,-0.031,0.075,0.001,0.184
'0:00.355',-0.196,0.079,-0.032,0.073,0.001,0.184
'0:00.356',-0.203,0.077,-0.034,0.071,-0.002,0.179
'0:00.357',-0.207,0.077,-0.037,0.066,-0.008,0.172
'0:00.358',-0.207,0.077,-0.041,0.06,-0.018,0.16
'0:00.359',-0.218,0.078,-0.044,0.053,-0.028,0.144
'0:00.360',-0.228,0.081,-0.047,0.046,-0.038,0.128
'0:00.361',-0.228,0.085,-0.049,0.039,-0.048,0.111
'0:00.362',-0.225,0.09,-0.048,0.034,-0.056,0.095
'0:00.363',-0.22,0.092,-0.049,0.031,-0.061,0.083
'0:00.364',-0.22,0.092,-0.05,0.027,-0.066,0.074
'0:00.365',-0.225,0.091,-0.051,0.026,-0.068,0.068
'0:00.366',-0.227,0.09,-0.051,0.026,-0.066,0.069
'0:00.367',-0.226,0.089,-0.049,0.028,-0.062,0.073
'0:00.368',-0.232,0.09,-0.044,0.033,-0.056,0.081
'0:00.369',-0.241,0.091,-0.038,0.039,-0.045,0.092
'0:00.370',-0.244,0.093,-0.031,0.047,-0.035,0.105
'0:00.371',-0.247,0.093,-0.026,0.053,-0.026,0.117
'0:00.372',-0.247,0.091,-0.022,0.058,-0.019,0.127
'0:00.373',-0.25,0.091,-0.021,0.061,-0.014,0.135
'0:00.374',-0.256,0.091,-0.019,0.063,-0.011,0.139
'0:00.375',-0.259,0.09,-0.018,0.063,-0.012,0.141
'0:00.376',-0.263,0.091,-0.018,0.061,-0.016,0.138
'0:00.377',-0.267,0.091,-0.02,0.057,-0.021,0.132
'0:00.378',-0.268,0.093,-0.023,0.052,-0.029,0.122
'0:00.379',-0.27,0.095,-0.026,0.045,-0.038,0.11
'0:00.380',-0.272,0.097,-0.028,0.038,-0.048,0.096
'0:00.381',-0.273,0.1,-0.03,0.034,-0.056,0.081
'0:00.382',-0.274,0.102,-0.032,0.03,-0.062,0.068
'0:00.383',-0.272,0.104,-0.032,0.027,-0.067,0.058
'0:00.384',-0.275,0.104,-0.032,0.025,-0.068,0.052
'0:00.385',-0.281,0.104,-0.032,0.025,-0.068,0.049
'0:00.386',-0.282,0.104,-0.03,0.026,-0.066,0.051
'0:00.387',-0.28,0.104,-0.026,0.03,-0.06,0.056
'0:00.388',-0.278,0.105,-0.022,0.036,-0.051,0.064
'0:00.389',-0.277,0.106,-0.017,0.042,-0.042,0.077
'0:00.390',-0.278,0.107,-0.012,0.05,-0.032,0.09
'0:00.391',-0.278,0.105,-0.01,0.056,-0.022,0.105
'0:00.392',-0.272,0.103,-0.01,0.06,-0.016,0.116
'0:00.393',-0.265,0.101,-0.01,0.063,-0.011,0.124
'0:00.394',-0.263,0.1,-0.011,0.064,-0.009,0.128
'0:00.395',-0.266,0.099,-0.012,0.063,-0.01,0.129
'0:00.396',-0.266,0.096,-0.015,0.059,-0.014,0.124
'0:00.397',-0.258,0.092,-0.02,0.054,-0.02,0.115
'0:00.398',-0.255,0.087,-0.025,0.048,-0.028,0.105
'0:00.399',-0.264,0.082,-0.03,0.041,-0.038,0.09
'0:00.400',-0.267,0.077,-0.035,0.033,-0.049,0.074
'0:00.401',-0.262,0.075,-0.037,0.028,-0.057,0.06
'0:00.402',-0.26,0.074,-0.038,0.025,-0.064,0.046
'0:00.403',-0.267,0.074,-0.039,0.022,-0.068,0.035
'0:00.404',-0.27,0.074,-0.039,0.021,-0.07,0.028
'0:00.405',-0.266,0.074,-0.039,0.021,-0.069,0.025
'0:00.406',-0.26,0.075,-0.037,0.025,-0.066,0.026
'0:00.407',-0.256,0.076,-0.032,0.03,-0.059,0.032
